date,max_temp_F,avg_temp_F,min_temp_F
2021-01-01,43.2857142857143,39.3428571428571,36.4285714285714
2021-01-08,42.2857142857143,37.4571428571429,33.5714285714286
2021-01-15,45.1428571428571,40.6857142857143,35.8571428571429
2021-01-22,37.8571428571429,33.8714285714286,29.1428571428571
2021-01-29,35.8571428571429,29.5714285714286,25.4285714285714
2021-02-05,34.7142857142857,33.0428571428571,28.1428571428571
2021-02-12,35.4285714285714,31.3,27.2857142857143
2021-02-19,42.7142857142857,37.8857142857143,33.7142857142857
2021-02-26,45.8571428571429,40.0285714285714,32.5714285714286
2021-03-05,48.5714285714286,41,34.1428571428571
2021-03-12,48,42.6142857142857,35.5714285714286
2021-03-19,56,47.0142857142857,39.4285714285714
2021-03-26,63,53.2714285714286,46.7142857142857
2021-04-02,61.4285714285714,51.6857142857143,44
2021-04-09,59.7142857142857,52.9714285714286,47.5714285714286
2021-04-16,60,52.9142857142857,45.7142857142857
2021-04-23,67.5714285714286,57.7571428571429,49.7142857142857
2021-04-30,67.7142857142857,59.0714285714286,51.1428571428571
2021-05-07,63.2857142857143,56.3857142857143,50.2857142857143
2021-05-14,78.8571428571429,69.7142857142857,60.5714285714286
2021-05-21,79.7142857142857,71.5714285714286,64
2021-05-28,66.5714285714286,59.6428571428572,54
2021-06-04,88.1428571428571,79.5714285714286,71
2021-06-11,87.1428571428571,68.9285714285714,64.1428571428571
2021-06-18,83.2857142857143,74.4285714285714,66
2021-06-25,90.1428571428571,81.0714285714286,73.4285714285714
2021-07-02,83,74.8428571428571,67.5714285714286
2021-07-09,83.5714285714286,76.1428571428571,72.1428571428571
2021-07-16,86.7142857142857,80.1857142857143,74.2857142857143
2021-07-23,84.2857142857143,77.8285714285714,71.4285714285714
2021-07-30,79.4285714285714,73.4285714285714,67.5714285714286
2021-08-06,86.2857142857143,78.8857142857143,73
2021-08-13,84,80.6,75.5714285714286
2021-08-20,86.2857142857143,80.6285714285714,75.7142857142857
2021-08-27,82.8571428571429,75.9,70.1428571428571
2021-09-03,80,73.4571428571428,68.1428571428571
2021-09-10,81.5714285714286,75.3571428571429,69.8571428571429
2021-09-17,78.7142857142857,73.1857142857143,67.7142857142857
2021-09-24,74,68.0142857142857,61.8571428571429
2021-10-01,73,67.0285714285714,60.8571428571429
2021-10-08,72.1428571428571,67.5428571428571,64.1428571428571
2021-10-15,72.5714285714286,65,58.4285714285714
2021-10-22,64.4285714285714,59.9,55
2021-10-29,59,54.6,50
2021-11-05,60.7142857142857,54.4285714285714,47.2857142857143
2021-11-12,58.1428571428571,51.7428571428571,45
2021-11-19,51,45.5285714285714,39.2857142857143
2021-11-26,47,43.1142857142857,38.2857142857143
2021-12-03,47.5714285714286,43.6857142857143,39.5714285714286
2021-12-10,56.4285714285714,50.1,44.2857142857143
2021-12-17,46,41.3428571428571,35.7142857142857
2021-12-24,46.4285714285714,41.7571428571429,38
2021-12-31,54,51,48