year,vinyl,eight_track,cassette,cd,download,streaming,other
1973,8268.55,2815.68,437.611081081,0,0,0,89.825432432
1974,8037.9,2848.01,452.196559838,0,0,0,68.970346856
1975,8061.75,2770.41,469.496498141,0,0,0,48.470286245
1976,8573.27,3047.22,654.643671353,0,0,0,22.914775044
1977,10294.62,3421.42,1053,0,0,0,0
1978,10718.77,3717.22,1763.72,0,0,0,0
1979,8488.8,2409.73,2044.55,0,0,0,0
1980,7601.45,1635.09,2187.36,0,0,0,0
1981,7307.18,880.315082508,2989.13,0,0,0,0
1982,5849.91,95.374632124,3667.95,0,0,0,0
1983,5026.64,0,4648.29,44.14960241,0,0,0
1984,4545.97,0,5865.84,254.180636189,0,0,0
1985,3710.12,0,5729.71,925.449828067,0,0,0
1986,2825.06,0,5830.43,2169.59,0,0,0
1987,2242.4,0,6692.99,3586.4,0,0,0
1988,1539.99,0,7439.34,4537.64,0,0,0
1989,694.191225,0,7299.42,5333.75,0,0,237.92595
1990,353.851195869,0,7296.69,6763.27,0,0,337.029082632
1991,175.130676212,0,6100.48,8208.05,0,0,221.682024229
1992,145.595112615,0,6223.05,9788.22,0,0,286.816905203
1993,109.339810381,0,5686.91,11601.34,0,0,377.381578547
1994,112.130263158,0,5608.76,14698.72,0,0,398.666212551
1995,120.447326772,0,4260.78,15917,0,0,369.561923228
1996,137.360644359,0,3413,16487.84,0,0,384.70756979
1997,109.749328972,0,2638.13,16227.93,0,0,515.933347664
1998,93.63633681,0,2375.1,18239.79,0,0,796.771509202
1999,91.612982593,0,1702.74,20008.61,0,0,578.067178271
2000,80.171184669,0,936.221278746,19830.79,0,0,418.523277003
2001,84.882166008,0,516.943939582,18758.96,0,0,475.224643704
2002,64.518220122,0,295.874304614,17155.88,0,0,409.847019455
2003,60.023817391,0,150.1984875,15705.12,0,0,555.637142935
2004,53.053226046,0,32.07554738,15543.24,248.348647432,0,831.122094759
2005,35.867904761,0,17.14852381,13813.46,1211.261761904,195.309904762,815.013047619
2006,32.464380952,0,4.69211756,11905.55,2094.840269346,261.490443452,613.652888393
2007,33.174979739,0,3.699811867,9213.64,2953.68,288.585325615,642.657321274
2008,70.770761206,0,1.068685991,6506.04,3192.4,262.896753877,388.645472195
2009,79.00762619,0,0,5155.04,3177.35,245.722059132,674.841911185
2010,106.926286826,0,0,3980.31,3165.35,249.025694317,721.635192336
2011,140.933622004,0,0,3530.16,3301.14,410.980626748,726.831058643
2012,184.24945928,0,0,2773.07,3362.69,635.61592187,856.530574986
2013,234.543283579,0,0,2352.75,3211.65,948.407755312,972.732289718
2014,269.275066428,0,0,1925.26,2759.97,1138.309475506,1136.96465677
2015,365.803553117,0,0,1566.89,2496.38,1648.92,1160.587936932
2016,383.806202386,0,0,1209.08,1951.793046582,3278.87,1249.277876038
2017,411.551754832,0,0,1107.92,1447.227899028,5228.02,979.981383322
2018,432.206383393,0,0,715.45199218,1037.693156124,6530.19,1309.011168828
2019,504.384866529,0,0,616.192064248,834.209375031,7923.11,1233.684781988